Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
5;1001225;Форма банка (без печати работодателя);Ремонт;1;0.5;мужской;1;0;среднее-специальное;вспомогательный персонал;< 50;0;117;43;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001245;Форма банка (без печати работодателя);Ремонт;1;0.31;мужской;0;0;высшее;специалист;>250;0;9;37;Информационные технологии;ЗАО;холост / не замужем;0;0;0;0;0;0.0248447205;0;0;0;0;0.1428571429;1;6;157;7;0;2;20;97;1;0;0;0;0;0;0
5;1001265;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;1;0;среднее-специальное;рабочий;>250;0;54;33;Другое;ОАО;женат / замужем;0;0;0;0;0;0.2894736842;0;0;0;0;0.25;1;3;81;4;1;1;14;77;1;1;1;1;0;0;0
5;1001285;Форма банка (без печати работодателя);Ремонт;1;0.57;женский;3;0;высшее;менеджер среднего звена;< 50;0;12;43;Торговля;ООО;холост / не замужем;1;0;0;0;0;0.0311418685;1;0;0;0;0.5;6;4;280;10;2;2;9;95;1;0;0;0;0;0;0
5;1001305;Поступление зарплаты на счет;Ремонт;1;0.13;мужской;2;0;высшее;специалист;>250;1;41;46;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0416666667;0;0;0;0;0;0;2;23;2;0;2;13;13;1;0;0;0;0;0;0
5;1001325;Поступление зарплаты на счет;Ремонт;0;0.19;мужской;0;0;среднее-специальное;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001345;Форма банка (без печати работодателя);Ремонт;1;0.59;женский;0;0;среднее;рабочий;>250;0;229;42;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001365;Поступление зарплаты на счет;Обучение;1;0.1;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;125;49;Другое;ЗАО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;12;1;0;0;12;12;0;0;0;0;0;0;0
5;1001385;Поступление зарплаты на счет;Лечение;1;0.21;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001405;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;рабочий;>250;3;302;46;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001425;Поступление зарплаты на счет;Ремонт;1;0.42;женский;1;0;высшее;менеджер среднего звена;>250;0;67;48;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.08;1;0;0;0;0.5;3;3;69;6;1;1;11;74;1;0;0;0;0;0;0
5;1001445;Поступление зарплаты на счет;Обучение;0;0.27;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001465;;Ремонт;0;;женский;0;0;высшее;другое;;1;41;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001485;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;второе высшее;специалист;>250;3;364;50;Другое;ОАО;женат / замужем;1;1;1;1;1;0.1628664495;0;1;0;0;0.3571428571;5;9;257;14;4;1;4;94;1;1;0;0;0;0;0
5;1001505;2НДФЛ;Ремонт;1;0.49;мужской;2;0;среднее;менеджер среднего звена;>250;0;88;35;Информационные технологии;ООО;повторный брак;5;4;0;0;0;0.0340909091;1;0;0;0;0.3076923077;4;9;170;13;2;2;26;92;1;0;0;0;0;0;0
5;1001525;Поступление зарплаты на счет;Покупка автомобиля;1;0.52;мужской;0;0;высшее;менеджер среднего звена;>250;0;40;32;Информационные технологии;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.25;1;3;46;4;0;2;18;46;0;0;0;0;0;0;0
5;1001545;Форма банка (без печати работодателя);Ремонт;1;0.19;мужской;0;0;среднее-специальное;рабочий;>250;0;119;51;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001565;Форма банка (без печати работодателя);Ремонт;1;0.48;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;17;54;Другое;ОАО;женат / замужем;5;3;0;0;0;0.0325203252;1;1;1;1;0.2727272727;6;16;357;22;3;2;0;106;1;0;0;0;0;0;0
5;1001585;Форма банка (без печати работодателя);Ремонт;1;0.29;женский;0;0;среднее-специальное;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
